X,Y,Z,Cancers
-2.161322229020513817e+02,-1.307512099951235029e+02,1.464424322492278634e+02,1.000000000000000000e+00
-9.035974497963609053e+01,-3.249277852193781655e+02,-7.896633678348922558e+01,1.000000000000000000e+00
-2.477421718822751018e+02,-5.752970910537033689e+01,2.573149309371986533e+02,1.000000000000000000e+00
-1.266408095559106499e+02,-2.103908540542135484e+02,-6.824854166551597245e+01,1.000000000000000000e+00
-8.824126726360481143e+01,-3.098256593107142294e+02,-8.145824851916535181e+01,1.000000000000000000e+00
-2.686632239611608384e+02,5.086627036037633331e+01,2.719622623946026465e+02,1.000000000000000000e+00
-2.002582225955209765e+02,-4.901304257489602634e+01,1.397708669746954229e+02,1.000000000000000000e+00
-1.922241870071647725e+02,2.254841492623789065e+02,2.046758314374305598e+01,1.000000000000000000e+00
-2.086596266460772711e+02,1.680151451366525350e+02,-7.982918459385656718e+01,1.000000000000000000e+00
-2.716672248845608806e+02,5.692730216466627979e+01,3.128463161448347023e+02,1.000000000000000000e+00
-1.171763026115732487e+02,-2.595714089447268975e+02,-6.371568947193733123e+01,1.000000000000000000e+00
-1.623545609472509454e+02,-7.820943408262874641e+01,-6.699546010393169126e+01,1.000000000000000000e+00
-2.532817070934919457e+02,-2.258739616214070622e+01,3.408039993401147285e+02,1.000000000000000000e+00
-6.919489902319139674e+01,-3.470349014875693570e+02,-8.329797320337689825e+01,1.000000000000000000e+00
-2.326896392399902425e+02,1.437899128353283515e+02,4.993143397646601755e+01,1.000000000000000000e+00
-2.210789622591312309e+02,-8.811340709344828781e+01,9.205885145649264700e+01,1.000000000000000000e+00
-1.562487336672273273e+02,-1.967610934789700252e+02,-2.436946765410304394e+01,1.000000000000000000e+00
-9.123812256474840865e+01,-2.893955892315265714e+02,-1.110652782072215103e+02,1.000000000000000000e+00
-1.919340171722087121e+02,-2.209667964457802611e+02,1.219899194335684598e+02,1.000000000000000000e+00
-2.490186246841366540e+02,-3.373123886048263387e+01,2.355875953652703174e+02,1.000000000000000000e+00
-1.636857309884871654e+02,-9.264073572383114197e+01,-1.087197625144273303e+02,1.000000000000000000e+00
-1.100475293347068515e+02,-2.956904620693319430e+02,-7.311803112486710177e+01,1.000000000000000000e+00
-1.300445695480994175e+02,-1.834314446331380566e+02,-1.026597388624469858e+02,1.000000000000000000e+00
-2.595369051007332928e+02,1.141587876386468139e+02,2.730505828995110278e+02,1.000000000000000000e+00
-1.772992451856996183e+02,-5.167632885738538562e+01,-1.110212437182770344e+02,1.000000000000000000e+00
-2.522232369806076520e+02,-4.288387066121125457e+01,2.565242626534050601e+02,1.000000000000000000e+00
-1.830984391300940217e+02,1.448456809453541609e+02,-9.513234919527252487e+01,1.000000000000000000e+00
-1.585118461666000655e+02,2.666656159550166763e+02,-1.489108116070223886e+01,1.000000000000000000e+00
-2.180669868228411588e+02,6.624363912738504112e+00,1.617432726440336239e+02,1.000000000000000000e+00
-2.524305248618695714e+02,-1.655972231006626885e+02,3.045818169380723930e+02,1.000000000000000000e+00
-1.736641334592402757e+02,-3.962890931860005139e+01,-6.771502392791641967e+01,1.000000000000000000e+00
-2.221966949209421784e+02,1.734070296864274781e+02,-3.474561868978518930e+01,1.000000000000000000e+00
-2.078501064778305079e+02,1.402423867281304410e+02,-8.873323184355692206e+01,1.000000000000000000e+00
-1.919108988001235332e+02,-1.949247117161644951e+02,1.340111485141804906e+02,1.000000000000000000e+00
-2.755522341393552210e+02,6.428980866802906746e+01,3.160663987041695009e+02,1.000000000000000000e+00
-1.636360810499219269e+02,3.046812138163592749e+02,3.179310992659337698e-01,1.000000000000000000e+00
